,baseline,v01,v02,v06,sh0es,cchp_edd,popii,mcp,popi,cf4,popmix,desi,adh0cc
baseline,1.00,0.95,0.95,0.85,0.65,0.55,0.50,0.20,0.20,0.20,0.65,0.25,0.05
v01,0.95,1.00,0.90,0.80,0.65,0.55,0.50,0.20,0.20,0.20,0.70,0.25,0.05
v02,0.95,0.90,1.00,0.80,0.65,0.55,0.50,0.20,0.20,0.20,0.70,0.25,0.05
v06,0.85,0.80,0.80,1.00,0.55,0.50,0.45,0.20,0.20,0.40,0.55,0.25,0.05
sh0es,0.65,0.65,0.65,0.55,1.00,0.40,0.30,0.15,0.30,0.15,0.65,0.20,0.05
cchp_edd,0.55,0.55,0.55,0.50,0.40,1.00,0.40,0.15,0.10,0.10,0.20,0.15,0.05
popii,0.50,0.50,0.50,0.45,0.30,0.40,1.00,0.15,0.05,0.05,0.30,0.10,0.05
mcp,0.20,0.20,0.20,0.20,0.15,0.15,0.15,1.00,0.05,0.05,0.15,0.05,0.05
popi,0.20,0.20,0.20,0.20,0.30,0.10,0.05,0.05,1.00,0.10,0.20,0.10,0.25
cf4,0.20,0.20,0.20,0.40,0.15,0.10,0.05,0.05,0.10,1.00,0.10,0.20,0.05
popmix,0.65,0.70,0.70,0.55,0.65,0.20,0.30,0.15,0.20,0.10,1.00,0.20,0.05
desi,0.25,0.25,0.25,0.25,0.20,0.15,0.10,0.05,0.10,0.20,0.20,1.00,0.05
adh0cc,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.05,0.05,0.05,1.00
